Project;Risk;Stakeholder;idx
"GESU (short for ""Global Enterprise Services Unit"")",none detected,customers| IT department staff| management team,4984
Improving wastewater treatment| reducing antibiotic input| plasma technology.,Antibiotics| environmental contamination| selection pressure| resistance.,Scientists| researchers| policymakers| public health officials.,4985
finding a global optimal path to guarantee a given probability of arriving on time in a network with uncertainty.,unexpected disturbance| stochastic travel time| risk-taking behaviors,users of the network.,4986
waste management hierarchy| technical assessment of waste properties| recovery of building materials during construction projects,downcycling| lack of awareness,non-destructive testing (NDT) methods,4987
Green taxes| green transformation policy reforms| inclusive and sustainable growth| and economic recovery from the COVID-19-induced economic recession.,Climate change| environmental degradation| energy poverty| inequality| and black market activities.,Governments| businesses| communities| and individuals affected by climate change and energy policies.,4988
None,none detected,communities| disadvantaged communities| healthy lifestyle community event initiatives in the Pacific Islands,4989
deal with the resource-constrained project scheduling problem,using truncated branch-and-bound,derived conclusions from the research on optimal solution procedures for the basic problem,4990
HyReK| enera| HyCavMobil (three exemplary projects),None,None,4991
Quantitative evaluation method for effect of construction process on shipbuilding quality (10 words),Difficulty in analyzing shipbuilding quality due to various processing types| small samples| and non-standard process routes (4 words),Installation of ship propulsion shafting (6 words),4992
None,None,None,4993
Evaluating the effectiveness of remedial actions to mitigate the impact of development on Lake Tahoe's water quality.,Increased nutrient flux into the lake due to urbanization| which could lead to cultural eutrophication and declining water clarity.,Local regulatory agencies| developers| homeowners| and environmental groups involved in,4994
Assessment of the health risks associated with kitchen emissions (cooking vapors).,Exposure to potentially harmful compounds released during cooking| including gases and aerosols.,People who could be affected by these emissions| such as those living nearby or frequent diners at restaurants.,4995
Project execution| management| organization| teamwork| collaboration.,Competition| conflict handling style| negative impact on project performance.,Client| engineering consultant| data gathering| analysis| simulation.,4996
None,None,None,4997
None,None,None,4998
Geosynthetic reinforcement| use of geotextile encasement| use of geogrid encasement,Bulging| column failure| excessive bulging,Researchers| engineers| developers,4999
Assessing the effectiveness of the Montreal Protocol,None,Collocated Aura Microwave Limb sounder (MLS) satellite data and ERA5 reanalysis data| LOTUS project| K,5000
Assessment of ecosystem service knowledge contribution to decision-making,Lack of instrumental use of knowledge due to competing interests| scientific disputes| etc.,Practitioners| policymakers| researchers| and communities involved in the analysis of ecosystem services.,5001
None,None,None,5002
"""new design inherent safer features""| ""existing installations""","""risk analysis""| ""risks in quantitative terms""| ""hierarchy of measures to reduce process risks""","""decision makers""",5003
Transmission expansion planning (TEP).,Uncertainties in load demand and wind power.,Power system planners.,5004
None,floods| entering floodwaters,None,5005
None,Reducing hydro-meteorological risks,People's perceptions of NBS as a means to reduce hydro-meteorological risks,5006
Real estate transaction,None,None,5008
Identifying different perspectives on philanthropic CSR activities,Supporting environmental-related activities,Participants ranking-ordered statements from most important (+4) to most unimportant (-4),5009
ride-matching strategies to ensure optimal allocation of trips to drivers and users,none detected,drivers| users| service providers,5010
analysis of over 160 papers to determine sources and effects of sulfonamides in the environment.,environmental pollution due to sulfonamides (anti-infectives)| potential hazard to human health with a global range.,administrators| farmers| medical professionals| environmental scientists| and possibly consum,5011
optimizing the number of trading zones| determining the optimal number of permits per zone,hot spot formation| location uncertainty| dispersion uncertainty,emitters| regulators,5012
"Implementing measures to protect peatlands (e.g., reforestation efforts)","Exploring the physical system dynamics (e.g., damage to peatlands)","Cooperation among stakeholders (e.g., collaboration between government agencies and local communities)",5013
DPR treatment train combinations| DPR facilities| adaptation to other DPR treatments.,None,federal and state regulators| state and local decision makers| design engineers.,5014
Overview| Key considerations| LOPA process,Incident| Potential incident| Protection layer failure,Elsevier B.V.| Rights reserved,5015
Building design projects in Denmark,Climate change| rising global temperatures,Researchers| architects| builders| homeowners| etc.,5016
None,earthquakes| threatens safety| increase seismic disasters| economic/societal losses (paired/grouped earthquakes and strong aftershocks).,people affected by earthqu,5017
None,None,None,5018
creation of two structural models of tundish| numerical simulation of charging and normal casting processes.,floating and adsorption of inclusions| entrainment of steel to micro-inclusions.,American Applied Science Research Institute.,5019
research study| eastern part of Turkey| seismic safety of civil buildings,earthquake| seismic hazard| loss,Turkish government| construction industry| residents of urban areas (fatalities),5020
Future projects that MEWSS of Rethymno intends to implement to improve water supply and quality.,Potential,Respondents who were interviewed as part of the contingent valuation study| including female respondents| households with high income| households with children| and households that do not use tap water for drinking.,5021
None,Mercury exposure,Village population,5022
None,None,None,5023
None,None,None,5024
Restoration of a wetland in the Puyallup River estuary| Puget Sound| Washington| USA| which was restored to tidal inundation in 1986.,Uncertainty of the outcome of restoration projects due to lack of long-term data sets and natural variability in wetland attributes.,Wetland managers who need to assess compensatory,5025
Explanation,"Explanation: The phrase ""reaches termination through"" implies a potential risk of failure in the design process. Additionally, the reference to ""bounded rationality"" suggests that the designers were working within limits of their knowledge and understanding, which could lead to errors or oversights.",None,5026
experimentation and modeling of particle deposition in Speulder forest,None,None,5027
Evaluating the association between exposure to air pollution and daily mortality in the Oporto Metropolitan Area| Portugal.,Air pollution,General population| elderly people,5028
strategic employee resourcing framework (SERF)| human resource information system (HRIS),employee turnover| reduced trust| job satisfaction| and commitment,employees| line management| organization,5029
Assessment of tsunami hazard for Bangladesh,Amplification of tsunami heights on either side of the submarine canyon approaching the nearshore area off Barisal| and higher tsunami amplitudes north of latitude 21.5 in the Teknaf-Chittagong coastline. Longer arrival times for shallow waters off the eastern half,None,5030
management and storage of data| map visualizations| data streams| and creation of metadata.,None,users of geospatial data| public entities (local)| research organizations (especially environmental ones).,5031
Conservation area network scenarios (45%),Habitat loss and fragmentation (12%),Policy makers and other stakeholders (100%),5032
mining-induced displacement| investigation of place and time| analysis of political contest and temporal inequalities,displacement| loss| disempowerment,individuals| communities| governments| organizations involved in mining activities,5033
None,None,None,5034
estimation of frequency of LOC in chemical installations using quantitative risk analysis and safety management models,loss of containment| LOC,safety management system| ammonia storage plant,5035
evaluation of the occurrence of arsenic| assessment of the cancer and non-cancer health risks associated with ingestion of,arsenic-related health consequences| potential cancer and non-cancer health risks associated with ingestion of inorganic arsenic| and the need for rulemaking and regulations to control inadvertent and intentional contamination of arsenic in water resources.,None,5036
Transposition into national laws,Developing proper definitions| green performance measurement| and secondary material issues.,Stakeholders will still have to agree on many items in each of these categories.,5037
Water resources allocation,Uncertainty in water resource allocation| potential failure risks,Decision makers| water resource managers| regulatory agencies,5038
None,None,None,5039
Reform| Social Medical Insurance System| Random Matrix Theory| Data Mining Technology,Analysis| Establishment| Urgent Need,Department| Management| Supervision,5040
"""a project is impacted by a change order..."" (implying that the project itself is affected by the change)","""inevitable on most construction projects""","""contractors are entitled to an equitable adjustment..."" (implying that the stakeholders involved are the contractors)",5041
infrastructure projects,environmental impact| biodiversity loss| carbon footprint| material specifications| material use and reuse,design teams| infrastructure owners| regulatory bodies| local communities,5042
Establishment of site-specific criteria for protecting receiving water bodies| development of effective environmental protection measures.,Environmental impact| lack of adequate testing methods| non-biodegradable waste streams.,Regulatory agencies| industry| academia| ecologically relevant organisms.,5043
fire study| smoke control systems| big projects in East Asia,lack of data on smoke spreading| filling| and control in large halls| potential discrepancies between predicted and experimental results,researchers| developers of Fire Dynamics Simulator (FDS),5044
game playing| strategies| organizational change| trajectory,power struggle| authority| consent| capital,individuals| collectives| interfirm relationships,5045
Diversification| corporate social performance in environmental protection (EP)| theoretical model predicting the different effects of global diversification on corporate social performance in EP,Developed countries| financial slack| human resource slack,Multinational enterprises (MNEs),5046
Large systems design projects| specifically aircraft design.,"Embodied in the mention of ""what if changes"" on the requirements needed to meet desired design reliability specifications| which could potentially impact the success or failure of the project.",Contractors involved in these projects.,5047
"Mining sector in sub-Saharan Africa|Gold mining in particular, including its impact on different aspects of life, such as environment, health, economy, food, community, and personal","Uncontrolled spread of artisanal and small-scale mining (ASM)|Consequences of ASM, such as environmental degradation and health risks",None,5048
alignment of control dimensions in information systems (IS) control,none detected,organizations seeking to understand the circumstances that contribute to control conflicts and improve their IS process designs.,5049
None,None,None,5050
Massive planting of transgenic monocultures.,Gene flow between transgenic crops and wild relatives| creation of super-weeds| rapid development of insect resistance.,Multinational corporations controlling proprietary regimes.,5052
a comparative study of FSF slag and its flotation products to investigate the factors affecting the separation of copper and arsenic during the benef,exposure to hazardous materials (HMs)| including arsenic and heavy metals such as copper and cadmium| through improper handling| disposal| and utilization of FSF slag and its flotation products.,None,5053
Broken-back culvert analysis program (BCAP),Steep slope| high outlet velocities| hydraulic jump,Engineers,5054
None,None,None,5055
None,none detected,,5056
Investigation (once)|Study (twice),None,Board members (three times),5057
Detail assessment of SLR impacts| evaluation of options and costs of adaptation| multi-criteria and decision matrix approaches.,Sea level rise (SLR)| impact on the Nile Delta coast| vulnerability of governorates (Alexandria and Port Said).,Vulnerable stakeholders| including those who may need to change their jobs due to,5058
Implementation in business practice (Attempts of implementation in business practice...).,Quality| quality system| and quality management are theoretically present (Elementary definition of quality management suggests that it is a method for ensuring that all necessary activities...).,Companies (The paper analyzes the evolution of quality management system| which is primarily,5059
This study evaluates the climatic impact of possible future changes in high-latitude inland water surface (IWS) area.,The impact of a reduction in IWS extent depends on the season considered,None,5060
Expanding the FIP model into SSF: This is a project aimed at addressing the challenges faced by SSF through modified designs that take into account the unique social and economic environment of these,Fishery improvement projects (FIPs): There is a risk that the FIP model may not be effective in small-scale fisheries (SSF) due to their complexity.,None,5061
Reviewing the published literature concerning how microplastics affect communities| biological diversity| and ecosystem processes.,Increasing concerns about the effects of microplastics on living organisms| including potential threats to biodiversity and alterations to biogeochemical cycles| greenhouse gas fluxes| and atmospheric chemistry.,United Nations (U.N,5062
Real-time prediction system of river water level,Flood risk,None,5063
Community health assessment| participatory research strategies| mixed-methods approach| data analysis| member-checking modules| community interventions.,Work| health inequities| precarious work situations| violence| discrimination| lack of access to resources and opportunities.,Residents| community members| academics| policymakers| government agencies| non-,5064
None,None,None,5065
mapping fear and memories as extended human material| developing a visual methodology| using audio-visual material for analysis,construction| renewal| violence,ordinary people (e.g.| residents of Istanbul)| filmmakers| researchers,5066
Rail transport of crude oil,Train accidents| broken rails| hazardous materials transportation risk,Railroad industry| government agencies| environmental groups| communities near rail routes,5067
None,none detected,,5068
Conservation and management of sagebrush ecosystems,Expansion of invasive annual grasses such as cheatgrass| medusahead| and ventenata| which threatens the persistence of native plant communities| ecosystem function| and fire regimes.,Land managers| resource managers| and other users who rely on spatial data to inform management decisions.,5069
None,"Excess risk of lung cancer: ""Excess risk rose nearly linearly, reaching maximum RRs > 40 among long-term heavy smokers.""|Cardiovascular mortality: ""Excess risks for CVD mortality increased steeply at low exposure levels and leveled off at higher exposures, reaching RRs of approximately 2-3 for cigarette sm",None,5070
Urban revitalization,Information asymmetries| holdout behavior| strategic importance of properties,Landowners| government,5071
assessments| valuables| objective| decision-making| links| factors| rating| control| macroeconomics| crisis| industry| turbulence| points| finding| agency| ratings| industry| rivals| competition| bands| irony| stability| environment| command| attention| fidelity| objectivity.,delegating| outside| experts| stable| environment| change| positioning,None,5072
evaluation of the occurrence of Cryptosporidium and Giardia in the Lake Baroon catchment| Queensland| Australia.,None,None,5073
evaluation of exposure to crystalline silica at 40 work sites across 13 industries,exposure to respirable crystalline silica| potentially leading to silicosis and lung disease,workers in various occupations| including brick layers/masons/concrete cutters| electricians| carpenters| and painters| who may be exposed,5074
Improving,Human Resources (HR)| Employee Involvement Practices,None,5075
Engineering Procurement Construction (EPC),None,local vendors| suppliers| and communication between supply chain participants.,5076
"""Project|"" ""success|"" ""includes|"" ""time|"" ""budget|"" ""quality|"" ""customer satisfaction|"" etc.","""Time|"" ""money|"" ""available resources|"" ""sequence|"" ""locked-up capital|"" etc.","""Companies|"" ""executives|"" ""management|"" ""employees|"" ""customers|"" etc.",5077
"""Setting regulatory emission limits is hampered by the dearth of toxicity information for the N-nitramines.""","""However| the formation of potentially carcinogenic N-nitrosamines and N-nitramines from reactions of flue gas NOx with the amines presents a potential risk for contaminating airsheds and drinking water supplies.""",,5078
"""customization of automatic driving""| ""automatic steering""","""driver rear-end risk-avoidance maneuvers""| ""cut-in scenarios""| ""dangerous precrash scenarios""","""participants""| ""drivers""",5079
None,None,None,5080
Analysis of urban patterns|Transportation network analysis|Emergency shelter capacity rate analysis,None,Urban planners|Decision makers,201
None,none detected,None,5082
"""a project""","""problem of maximizing the net present value of a project""","""personal computers running under the DOS operating system""",5083
Examining the intersection of acquisition studies and international expansion research.,Media coverage of CSI (labor or environmental issues).,Employees| customers| regulators| media| and other stakeholders in the target market.,5084
Research area| hydrohazards| complex human-nature systems| methodological approaches| integration of different perspectives| reduction of data intensity| development of new methods| etc.,Climate change| floods| droughts| uncertainty,Scientists| researchers| policymakers| practitioners| communities affected by natural disasters| etc.,5085
Incorporating women into the mining industry to counteract the deficit of skilled labor.,Self-discrimination of workers themselves| family demands| and male dominance in the field.,Male and female workers belonging to the operating areas in the mining companies located in northern Chile.,5086
None,None,None,5087
Upgrade of vulnerable pavements with a raised subgrade and gabion walls.,Accelerated deterioration of pavements| increased maintenance cost| and geo-physical risk.,Regional highways| arterial and collector roads of Barguna district in Bangladesh.,5088
"""reconstructing the materials at the Brazil Feilazi science station""","""Antarctic waters cargo operations risk response measures""","""Chinese merchant ships engaged in such operations""",5089
None,none detected,None,5090
None,None,None,5091
None,None,None,5092
None,None,None,5093
management of water resources and drainage systems| protection of remaining forest| meeting housing and urban needs without jeopardizing supporting ecosystems.,landslides| rapid erosion| flash floods,City residents| government agencies responsible for environmental and urban planning| NGOs focused on sustainable development and conservation.,5094
Investigating the effectiveness of several methodologies to monitor the evolution of damaging mechanisms and reduce risks of surface instability.,Potential risk of surface collapse due to abandoned and unstable underground cavities| particularly concerning when buildings are present on the surface.,INERIS ( Institut National de l'Environnement Industriel et des Risques| France)| who has carried out many,5095
MARLISCO was a European initiative that developed and implemented activities across 15 countries.,Marine litter is a pervasive and complex societal problem.,1500 stakeholders participated in national participatory events to facilitate dialogue on solutions.,5096
Development of a control system for machinery in the recycling industry to reduce injuries and deaths.,Hazards associated with manual removal of jams in balers| including the possibility of employees placing their bodies in danger during the process. Bypassing| ignoring| or forgetting safety protocols.,Employees working in the recycling industry| particularly those responsible,5097
A study to investigate and analyze the relationships between purchasing managers' perceptions and objective data on location attributes for low-cost sourcing alternatives.,Supply chain disruptions due to cultural stereotypes and biases (e.g.| perceiving certain regions as having lower quality products),None,5098
identifying high priority areas for intervention and investment| estimating the number and spatial distribution of heat-related deaths| assessing the performance of different HVI techniques in assigning vulnerability to zones of high heat mortality.,extreme temperatures| heat waves| heat-related morbidity| heat-related mortality,public health researchers| urban planners| communities,5099
Developing a measurement platform to track and analyze child poverty| including creating new indicators and disaggregating existing ones to better understand the experiences of children versus adults.,Poverty| multidimensional poverty| deprivation,Policy makers| officials| researchers| practitioners working towards reducing child poverty and improving the well-being of children through evidence-,5100
None,none detected,None,5101
determining the maximum speed limit in urban roads to increase traffic safety,speeding| excessive speed,motorcyclists| passengers| microbuses/city buses| pickups/light trucks| bus trans| and pedestrians.,5102
development of the Best Practices Manual for Airport Portland Cement Concrete Pavement Construction,None,airport owners| design engineers| contractors,5103
upgrading and preventive maintenance of wastewater networks| selection and ranking of rehabilitation projects| long-term investment needs.,aging and inadequate wastewater networks| system vulnerability during floods| pollution of receiving waters.,None,5104
Investigation of the geochemistry of soil in Madrid| Spain| specifically focusing on the bioaccessibility of trace elements in different environments (gastric| intestinal) and evaluating the impact of selected,High levels of trace elements (As| Cu| Pb| Zn) in soil due to urbanization and construction activities near playgrounds| potentially posing health risks to children playing nearby.,None,5105
green building evaluation.,None,rating experts.,5106
None,None,None,5107
None,None,None,5108
Cooperative work| building design| Service Oriented Architecture approach,none detected,,5109
TEDA (Tianjin Economic-Technological Development Area) urban rail transit project,None,TEDA Government| authors| research team,5110
None,Urban expansion leading to increased extreme heat risks,None,5111
none detected,none detected,none detected,5112
"""research project with the aim to detect the most characteristic actinobacteria from water damaged building materials""","""biological agents causing infections or allergic reactions""","""Federal Environment Agency in Germany""| ""investigations were carried out on different material types (pl",5113
None,None,None,5114
pressure agglomeration by compaction with a roll press| followed by granulation and screening of the compacted material,None,United States Environment Protection Agency (EPA)| Ocean County Utilities Authority (OCUA)| and possibly the laboratory in West Germany.,5115
"""Composite columns""","""fire protection measures""","""Monash University""",5116
"""study""| ""analysis""| ""policy instrument""","""failure""","""authors""| ""projects""",5117
Studying the behavior of nanomaterials in natural waters.,Aggregation rate| aggregate size| and aggregate morphology.,Specific Ca2+-NOM bridges.,5118
Estimation scheme of spatial distribution of actual evapotranspiration (proposed and applied to Sanuki area| near Central Japan),Water loss (ranged from 2.5 mm/day to 5.7 mm/day),People who will benefit from the project (e.g.| farmers| landowners| local communities),5119
None,"Information wise integration of manufacturers, retailers, interior decorators, and customers in the market of furniture and interior design.",Multitude of manufacturers producing a set,5120
Analysis of pile foundation system using detailed finite element analysis using ABAQUS under blast loads| investigation of different mitigation techniques for reducing the impact of blast loads on the foundation system.,Blast load| surface explosive charge| TNT,Researchers| engineers| construction professionals| building owners| occupants.,5121
Rehabilitation of the pipe,Corrosion,Engineers,5122
reducing carbon emissions| securing energy supply| providing affordable energy services,None,policymakers| energy experts| environmental advocates| industry leaders| consumers,5123
optimization| improvement| adjustment| capacity planning| production| efficiency| delivery time| market fluctuations| complexity| problem solving| solution finding| methodology| organization| management| coordination| communication| collaboration| decision making| prioritizing| resource allocation| budgeting| forecasting| inventory control| supply chain management| quality assurance| product,capacity planning| reorganization| competition,None,5124
Evaluating the effectiveness of different sampling methods for detecting Staphylococcus aureus in indoor air.,The potential exposure risk of humans to Staphylococcus aureus through indoor air contamination.,Laboratorians who perform sampling and testing for Staphylococcus aureus in indoor environments.,5125
Improving governance of government schools in Punjab through decentralization of authority.,Decentralization of authority to local stakeholders could lead to fragmentation of decision-making and potentially poor governance.,Local elected representatives who will oversee the performance of schools.,5126
IC chip designer,reducing processing risks,designers| IC chip designer,5127
None,None,None,5128
Investigating the effectiveness of using the pavement management system (PMS) to monitor the performance of pavement under warranty.,Enhanced pavement performance| but establishing warranty criteria and monitoring the performance of warranted pavement are two technical issues that must be resolved. Data collection methods| performance thresholds| remedial actions| and how the PMS database can be used to track the,None,5129
Study: This study focused on household evacuation decisions and departure timing for Hurricane Ike.,Environmental and social cues: There were fewer significant predictors of perceived storm,"Households: Most households evacuated 2 days before landfall, between the time of the National Hurricane Center hurricane watch and warning.",5130
None,None,None,5131
Integrated Watershed Management Programme (IWMP),Land degradation,Government of India (GOI),5132
None,None,None,1985
None,None,None,5133
Pavement preservation is a proactive approach to maintaining existing highways. Freeway-preservation projects typically require construction workers to conduct their work in close proximity to ongoing high-speed traffic.,Construction workers conducting their work in close proximity to ongoing high-speed traffic creates a dangerous situation for both workers and passing motorists.,Contractors can,5134
Design led innovation| frame creation,None,Non-design audience (management literature),5135
Developing a combined water management approach for a catchment area| including the sewage system| wastewater treatment plant (WWTP)| and the receiving water body.,Overflows (SOTs| CSOs| and WWTP),Urban residents| municipalities| environmental organizations| and regulatory agencies.,5137
highway projects,comparison with a null or no-build alternative| sensitivity to choice of counterfactual world and conceptualization of costs vs negative benefits,policy clients| concerned with state impacts rather than national impacts.,5138
Exploring non-stationary flood risk for the streamflow series of the Negro River at the city of Manaus in Brazil| evaluating attributes and fitting a generalized extreme value (GEV) distribution with non-stationary parameters| etc.,Flood risk management| flood frequency modeling| conditional probability| non-stationary parameters| statistical significance| etc.,City,5139
"""engaging with citizens""| ""releasing crisis information""| ""examining citizen engagement""","""COVID-19""| ""crisis""| ""unstable situation""","""local government""| ""public""",5140
None,None,fish farmers and entrepreneurs| as well as policymakers and experts involved in fisheries management.,5141
None,None,None,5142
None,None,None,5143
""" Three-dimensional steady-state combustion models for recovery and bubbling fluidized bed boilers""","""the effect of air jet arrangement in bubbling fluidized bed boiler|"" and ""the effect of an","""The paper deals with the use of modelling to show the effect of a detailed char bed model on the overall flow field in recovery boiler|""",5144
Data-driven society,Ethical frameworks| privacy concerns| transparency issues| potential public uproar,Organizations| governments| media outlets| individuals affected by the use of data-driven algorithms.,5145
development of the atomic bomb,nuclear bomb| Manhattan Project,physicists| chemists| mathematicians| nature (through reductionism),5146
None,None,None,5147
None,None,None,5148
Nuclear legacy liabilities program (NLLP),Health| safety| and environmental priorities,Natural Resources Canada (NRCan)| Atomic Energy of Canada Limited (AECL)| and the general public.,5149
Safety Triad| effective process safety| robustness| reliability verification,mitigation| response| prevention,Sam Mannan| Institution of Chemical Engineers| business continuity,5150
Simplified pair model| explicit inclusion of partnership formation and dissolution| projection of HPV prevalence under vaccination programs,Human papillomavirus (HPV)| sexual partnerships| transmission models,Researchers| public health officials| individuals who have received HPV vaccination or are at risk of contracting HPV due to their sexual behavior,5151
Partitioning the problem| considering static snapshots of contexts| optimizing designs for stakeholder utility| analyzing execution of potential system change mechanisms| taking into account performance| schedule| cost| and uncertainty regarding experienced epoch shifts.,Unknowns| operating contexts| time-varying stakeholder needs| epoch shifts.,Stakeholders,5152
None,Identification of risk factors (active aspect) -,None,3
Safety assessment,None,Traffic engineers| researchers| policymakers| and members of the public who are interested in road safety.,5154
development of an integrated database on European agricultural systems| including data on cropping patterns| production| farm structural data| soil and climate conditions| current agricultural management| and policy information.,inconsistent data interpretations| units| spatial and temporal scales| legal regulations of privacy| ownership| and copyright.,collaborators involved in developing a shared ontology for interdis,5155
None,None,None,5156
Examining mechanisms reducing agricultural diversity and identifying at-risk attributes of agricultural sustainability,Concerns about declining agricultural diversity threatening agricultural sustainability,Scientists who express concerns about declining agricultural diversity,5157
None,None,None,5158
None,None,None,5159
None,None,None,5160
Developing a prioritized program of works for the next 50 years| with a projected expenditure of $500 million over that time frame.,Flooding (approximately 235 km of flood defenses protecting a tidal floodplain of about 90|000 hectares).,Homeowners| business,5161
None,None,None,5162
Examining the relationship between supply chain stakeholder pressure from customers and suppliers for the adoption of social and environmental SSCM practices given the simultaneous conditional effects of both entrepreneurial orientation (EO) and sustainability orientation (SO).,Supply chain stakeholder pressure| adoption of social and environmental sustainable supply chain management (SSCM) practices,Customers,5163
Reuse of building elements in architecture,Legal vacuums and inconsistencies preventing the implementation of reuse processes in the architectural field (uncertainty related to the waste management process| lack of clear requirements for the element's specific use),End users| architects| engineers| policymakers| and regulators.,5164
None,"Water scarcity: ""overexploited""","Major stakeholders: ""basin stakeholders""",5165
None,None,None,5166
None,None,None,5167
None,None,None,5168
The study focuses on the evolution of the total plan area of a beach nourishment project over time| using various methods to analyze the impact of different sand sizes on the project's outcome.,Beach nourishment (the act of depositing sand along a coastline) can lead to increased erosion in certain areas| particularly during storms.,The article mentions the importance of understanding how,5169
Evaluating the impact of groundwater drainage on groundwater flow through a case study in the Longdong area| China. This includes calculating a three-dimensional unsteady groundwater flow model and a,Groundwater drainage| decrease in groundwater reserves| formation of a drop funnel| and excessive groundwater flow could lead to safety issues during coal mining operations.,None,5170
Reconstructing potential radiation exposures and doses from past releases of radionuclides to people who lived near nuclear facilities where these releases occurred. Conducting,Environmental dose reconstructions| nuclear weapons production and testing sites| radiation exposure| potential radiation exposures| dose reconstructions| deciding if epidemiologic studies or other public health activities should be undertaken.,None,5171
investigation into the relationship between Corporate Social Responsibility (CSR) and Corporate Reputation (CR)| including examination of the effects of CSR on CR and vice versa among different stakeholder groups.,none detected,customers| employees| investors.,5172
information technology investment project,uncertainty| competition,None,5173
"Data-driven approaches for efficient and effective design, construction, operation, and maintenance of infrastructure","Breach and leak of data could result in havoc, risk, trust issues, and serious consequences (hence, the main purpose of this paper)",Railway infrastructure (as the backbone of society),5174
None,None,None,5175
DioRAMA project| which aims to improve approaches for assessing dioxin-contaminated sediment using in vitro bioassays and to create a robust dataset on the interrelation between dioxins and dioxin-like compounds,dioxin pollution| exceeding biota-EQS values| and potential health risks associated with consuming contaminated fish and shellfish.,None,5176
construction of the national grain strategy project of Henan province core and construct Zhongyuan Economic Zone,none detected,population density| urbanization rate| per capita GDP| multiple crop index| and per hectare fertilizer rate.,5177
Tender work| bid evaluation method| project success| market economy.,Accuracy of bid evaluation method| formation of bid evaluation method| impact of bid evaluation method on project success.,None,5178
None,None,None,5179
None,structural failure| accidental spills| loss of cargo| and crew members during operations stage.,ship owners| operators| and regulatory bodies.,5180
River basin management,Quality failure| meteorological drought| entrance of industrial and domestic wastewater to groundwater| entrance of agricultural wastewater to groundwater| inappropriate governance| low awareness level.,Water resources managers| decision makers.,5181
pedestrian safety improvement projects,pedestrian vehicle collisions| collision profiles| and safety countermeasures,planners| engineers| epidemiologists| and policymakers involved in the data-driven capital planning process,5182
Alliance formation (between different groups working on climate migration and managed retreat)|Resource mobilization (to support research and practice,Differential: causal mechanisms (managed retreat vs climate migration)|Legal protections (distinct types of relocation)|Rights regimes and funding structures (separate policies for managed retreat and climate migration),None,5183
None,None,None,5184
CCS (Carbon Capture and Storage),NIMBY (Not in My Backyard) perception on CCS| potential environmental impacts or risks associated with its implementation.,Japanese general public| consistent positivity or negativity towards CCS| politically active or passive individuals.,5185
Explore| investigate| examine| build| try| find| show| demonstrate| prove| apply| analyze| compare| contrast| replicate| shape| develop| manage| organize| integrate| align| optimize| streamline| simplify| automate| delegate| outsource| offshore| nearshoring| reshore| restructure| reorganize| refocus| revamp| reinvent| transform| innov,None,None,5186
None,None,None,5187
Geological storage of acid gas in subsurface formations,Reduced emissions of greenhouse gases into the atmosphere through the injection of acid gas-rich brine into saline aquifers. Unstable hydrodynamic states and the potential for reduced convective mixing due to the presence of dissolved H2S.,Those involved in the optimization of acid gas composition for,5188
Development application of the LVI on a sample of managers from Skoda Auto a.s. and verification of its practical value represent the core of the SAVS IGA project MM/07/02.,Overemphasis on one side of the leadership spectrum (e.g.| too much forceful leadership vs. not,Managers from Skoda Auto a.s.,5189
Deregulation and intensification of competition between the banking sector and capital markets,Overinvestment in the property sector (unsustainable),"International Monetary Fund (IMF), World Bank, and various governments and regulatory bodies involved in international property development",5190
developing an intelligent hardware system (SEE4ME),none detected,students| universities| companies hiring graduates,5191
Mine planning| including cut-off grade policy and economic parameters (related to the optimization of the mining operation),Uncertainty| risk impact (related to the interpretation of the orebody's grade-tonnage distribution),Geologists| engineers| investors| management teams (related to the decision-making process around mine planning and operations),5192
Conservation of cloud forest ecosystems,Threatened ecosystems due to human activities such as deforestation and fragmentation.,Different user groups with varying levels of commitment towards conservation efforts| including local communities| tourists| and scientists.,5193
Artificial habitats for benthic megafauna,None,,5194
The Vila Viva project| which involves urban renewal| social development actions| and land regularization in slums.,homicide rates in Brazil are high| and the situation is particularly dire in large cities like Belo Horizonte.,The study identifies several groups of people who might have a stake in the project| including residents of the targeted slums| policym,5195
None,Police operations| treated black spots| freeway and highway facility supplies| speed control cameras| emergency medical services| and road lighting projects.,Policy makers| road,5196
Coal mining,Hazardous elements (Hg| Pb| Zn| Cd) and their mobility/mutation due to leaching and adsorption capacity.,Environmental and economic problems resulting from incorrect disposal of coal residues.,5197
None,Disclosure| stakeholders| groups| matters| showing| relationship| matter| more| likely| company| disclose| more| about| particular| stakeholder| group| bigger| company| disclose| more| stakeholder-related| social| environmental| information| cleaner| industries| disclose| less| stakeholders-related| information|,None,5198
photoinduced DNA cleavage activity investigation,none detected,None,5199
engineering knowledge| learning| integration| complexity| comprehensiveness| scenario features,none detected,students (undergraduate)| instructors| educational institutions,5200
Prediction of changes to in-stream ecology,Highly desirable if decisions on river management are to be justified to stakeholders.,Stakeholders.,5201
Advanced computer simulation analysis to mimic the FWD deflection bowl obtained from the field. Development of a new comprehensive pavement deflection bowl area parameters.,Traffic disturbance due to required lane closures during testing.,Pavement structure owners| managers| engineers| researchers| and policymakers who are interested in evaluating the struct,5202
