beg;des;val
Landowners;OKCC;1
Stream bank stabilization;OKCC;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
conservation districts;OKCC;1
Stream bank stabilization;OKCC;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
conservation districts;OKCC;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
Stream bank stabilization;OKCC;1
OKCC;Stream bank stabilization;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
Stream bank stabilization;OKCC;1
OKCC;Stream bank stabilization;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
OKCC;conservation districts;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
OKCC;Stream bank stabilization;1
OKCC;conservation districts;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
OKCC;Stream bank stabilization;1
OKCC;Landowners;1
OKCC;Flooding;1
Flooding;OKCC;0.666666667
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Flooding;OKCC;0.666666667
OKCC;Flooding;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;Landowners;1
Landowners;OKCC;1
Flooding;OKCC;0.666666667
OKCC;Flooding;1
OKCC;Landowners;1
Landowners;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Landowners;OKCC;1
Flooding;OKCC;0.666666667
OKCC;Landowners;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
Landowners;OKCC;1
OKCC;Flooding;1
OKCC;Landowners;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;conservation districts;1
conservation districts;OKCC;1
Flooding;OKCC;0.666666667
OKCC;Flooding;1
OKCC;conservation districts;1
conservation districts;OKCC;1
OKCC;conservation districts;1
conservation districts;OKCC;1
Landowners;OKCC;1
Flooding;OKCC;0.666666667
OKCC;Landowners;1
OKCC;conservation districts;1
OKCC;conservation districts;1
conservation districts;OKCC;1
conservation districts;OKCC;1
Landowners;OKCC;1
OKCC;Flooding;1
OKCC;Landowners;1
OKCC;conservation districts;1
conservation districts;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
conservation districts;OKCC;1
Flooding;OKCC;0.666666667
OKCC;conservation districts;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
conservation districts;OKCC;1
OKCC;Flooding;1
OKCC;conservation districts;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Landowners;OKCC;1
Stream bank stabilization;OKCC;1
Flooding;OKCC;0.666666667
OKCC;Stream bank stabilization;1
conservation districts;OKCC;1
Stream bank stabilization;OKCC;1
Landowners;OKCC;1
OKCC;Stream bank stabilization;1
conservation districts;OKCC;1
Stream bank stabilization;OKCC;1
OKCC;conservation districts;1
Stream bank stabilization;OKCC;1
OKCC;Stream bank stabilization;1
conservation districts;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;conservation districts;1
Stream bank stabilization;OKCC;1
OKCC;Stream bank stabilization;1
conservation districts;OKCC;1
OKCC;Stream bank stabilization;1
OKCC;conservation districts;1
Stream bank stabilization;OKCC;1
OKCC;Landowners;1
OKCC;Stream bank stabilization;1
OKCC;conservation districts;1
Stream bank stabilization;OKCC;1
OKCC;Flooding;1
OKCC;Stream bank stabilization;1
OKCC;Landowners;1
OKCC;NRCS;1
NRCS;OKCC;1
Flooding;OKCC;0.666666667
OKCC;Flooding;1
OKCC;NRCS;1
NRCS;OKCC;1
OKCC;Flooding;1
NRCS;OKCC;1
conservation districts;OKCC;1
Flooding;OKCC;0.666666667
OKCC;conservation districts;1
OKCC;NRCS;1
OKCC;NRCS;1
NRCS;OKCC;1
NRCS;OKCC;1
conservation districts;OKCC;1
OKCC;Flooding;1
OKCC;conservation districts;1
OKCC;NRCS;1
Flooding;OKCC;1
OKCC;NRCS;1
NRCS;OKCC;1
Landowners;OKCC;1
Flooding;OKCC;0.666666667
OKCC;Landowners;1
OKCC;NRCS;1
OKCC;NRCS;1
NRCS;OKCC;1
NRCS;OKCC;1
Landowners;OKCC;1
OKCC;Flooding;1
OKCC;Landowners;1
OKCC;NRCS;1
NRCS;OKCC;1
Landowners;OKCC;1
Flooding;OKCC;0.666666667
NRCS;OKCC;1
OKCC;Flooding;1
conservation districts;OKCC;1
Landowners;OKCC;1
NRCS;OKCC;1
OKCC;Flooding;1
conservation districts;OKCC;1
NRCS;OKCC;1
OKCC;NRCS;1
conservation districts;OKCC;1
OKCC;conservation districts;1
NRCS;OKCC;1
OKCC;NRCS;1
NRCS;OKCC;1
OKCC;NRCS;1
conservation districts;OKCC;1
OKCC;conservation districts;1
NRCS;OKCC;1
OKCC;NRCS;1
OKCC;conservation districts;1
conservation districts;OKCC;1
OKCC;NRCS;1
OKCC;Landowners;1
OKCC;conservation districts;1
conservation districts;OKCC;1
OKCC;NRCS;1
OKCC;Flooding;1
OKCC;Landowners;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
NRCS;OKCC;1
Flooding;OKCC;0.666666667
OKCC;NRCS;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
NRCS;OKCC;1
OKCC;Flooding;1
OKCC;NRCS;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Landowners;OKCC;1
Stream bank stabilization;OKCC;1
Flooding;OKCC;0.666666667
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Landowners;OKCC;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
OKCC;Landowners;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
OKCC;Flooding;1
OKCC;Stream bank stabilization;1
OKCC;Landowners;1
Stream bank stabilization;OKCC;1
Flooding;OKCC;0.666666667
NRCS;OKCC;1
OKCC;Flooding;1
conservation districts;OKCC;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
OKCC;Flooding;1
Stream bank stabilization;OKCC;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
conservation districts;OKCC;1
OKCC;Stream bank stabilization;1
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
Stream bank stabilization;OKCC;1
OKCC;conservation districts;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
OKCC;Stream bank stabilization;1
conservation districts;OKCC;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
OKCC;conservation districts;1
conservation districts;OKCC;1
OKCC;NRCS;1
OKCC;Flooding;1
OKCC;Stream bank stabilization;1
NRCS;Landowners;1
Landowners;NRCS;1
OKCC;NRCS;1
Stream bank stabilization;NRCS;1
conservation districts;NRCS;1
Flooding;NRCS;0.666666667
NRCS;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
NRCS;OKCC;1
NRCS;OKCC;1
OKCC;Flooding;1
Stream bank stabilization;OKCC;1
conservation districts;OKCC;1
Landowners;OKCC;1
OKCC;Flooding;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
conservation districts;OKCC;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
NRCS;OKCC;1
NRCS;OKCC;1
OKCC;conservation districts;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
Flooding;OKCC;1
OKCC;Flooding;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
conservation districts;OKCC;1
OKCC;NRCS;1
OKCC;NRCS;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;conservation districts;1
OKCC;Stream bank stabilization;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
Stream bank stabilization;OKCC;1
Flooding;OKCC;1
OKCC;Landowners;1
OKCC;conservation districts;1
OKCC;Stream bank stabilization;1
Flooding;OKCC;1
OKCC;NRCS;1
OKCC;NRCS;1
OKCC;Stream bank stabilization;1
Stream bank stabilization;OKCC;1
OKCC;NRCS;1
Landowners;Flooding;1
Landowners;conservation districts;1
Landowners;Stream bank stabilization;1
Landowners;OKCC;1
Stream bank stabilization;Landowners;1
Landowners;NRCS;1
Failure;Construction partnering;0.5
Construction partnering;Failure;1
Industry professionals;Construction partnering;0.285714286
Construction partnering;Industry professionals;1
Industry professionals;Failure;0.285714286
Failure;Industry professionals;0.5
Construction partnering;Industry professionals;1
Industry professionals;Construction partnering;1
Industry professionals;Failure;1
Failure;Industry professionals;1
Industry players;Oil industry projects;0.666666667
Oil industry projects;Industry players;1
Oil industry projects;Development costs;1
Development costs;Oil industry projects;0.666666667
Industry players;Oil industry projects;0.666666667
Oil industry projects;Industry players;1
Development costs;Industry players;0.666666667
Industry players;Development costs;1
Industry players;Oil industry projects;1
Oil industry projects;Industry players;1
Private sector;Waste treatment PPP in Greece;0.666666667
Waste treatment PPP in Greece;Private sector;1
Financial sustainability;Waste treatment PPP in Greece;0.666666667
Waste treatment PPP in Greece;Financial sustainability;1
Financial sustainability;Private sector;0.666666667
Private sector;Financial sustainability;0.666666667
Waste treatment PPP in Greece;Financial sustainability;1
Financial sustainability;Waste treatment PPP in Greece;1
Financial sustainability;Private sector;1
Private sector;Financial sustainability;1
potential default risk.;Project Tiger Reserves.;1
Project Tiger Reserves.;potential default risk.;1
potential default risk.;Project Tiger Reserves and pharmaceutical companies.;1
Project Tiger Reserves and pharmaceutical companies.;potential default risk.;1
Project Tiger Reserves.;Project Tiger Reserves and pharmaceutical companies.;1
Project Tiger Reserves and pharmaceutical companies.;Project Tiger Reserves.;1
potential default risk.;Project Tiger Reserves.;1
Project Tiger Reserves.;potential default risk.;1
Project Tiger Reserves and pharmaceutical companies.;potential default risk.;1
potential default risk.;Project Tiger Reserves and pharmaceutical companies.;1
potential default risk.;Project Tiger Reserves.;1
Project Tiger Reserves.;potential default risk.;1
public;Small-scale hydropower projects;0.5
Small-scale hydropower projects;public;1
Small-scale hydropower projects;project owners;1
project owners;Small-scale hydropower projects;0.5
public;Small-scale hydropower projects;0.5
Small-scale hydropower projects;public;1
project owners;public;0.5
public;project owners;1
public;Small-scale hydropower projects;1
Small-scale hydropower projects;public;1
Small-scale hydropower projects;Economic loss due to reduced electricity production;1
Economic loss due to reduced electricity production;Small-scale hydropower projects;1
public;Economic loss due to reduced electricity production;0.5
Economic loss due to reduced electricity production;public;1
public;Small-scale hydropower projects;0.5
Small-scale hydropower projects;public;1
Economic loss due to reduced electricity production;public;1
public;Economic loss due to reduced electricity production;1
public;Small-scale hydropower projects;1
Small-scale hydropower projects;public;1
project owners;Economic loss due to reduced electricity production;0.5
Economic loss due to reduced electricity production;project owners;1
project owners;public;0.5
public;Economic loss due to reduced electricity production;0.5
Economic loss due to reduced electricity production;public;1
public;Economic loss due to reduced electricity production;1
Economic loss due to reduced electricity production;public;1
public;project owners;1
project owners;Small-scale hydropower projects;0.5
Small-scale hydropower projects;Economic loss due to reduced electricity production;1
Economic loss due to reduced electricity production;Small-scale hydropower projects;1
Small-scale hydropower projects;Economic loss due to reduced electricity production;1
Economic loss due to reduced electricity production;Small-scale hydropower projects;1
Small-scale hydropower projects;project owners;1
project owners;public;0.5
public;Economic loss due to reduced electricity production;0.5
Small-scale hydropower projects;public;1
Economic loss due to reduced electricity production;public;1
public;Small-scale hydropower projects;1
Small-scale hydropower projects;public;1
Economic loss due to reduced electricity production;public;1
public;project owners;1
public;Small-scale hydropower projects;1
Small-scale hydropower projects;public;1
public;Economic loss due to reduced electricity production;1
public;Small-scale hydropower projects;1
Economic loss due to reduced electricity production;public;1
public;project owners;1
Economic loss due to reduced electricity production;Government administrators;1
Government administrators;Economic loss due to reduced electricity production;1
Small-scale hydropower projects;Government administrators;1
Government administrators;Small-scale hydropower projects;1
Economic loss due to reduced electricity production;Small-scale hydropower projects;1
Small-scale hydropower projects;Government administrators;1
Government administrators;Small-scale hydropower projects;1
Small-scale hydropower projects;Government administrators;1
Government administrators;Small-scale hydropower projects;1
Small-scale hydropower projects;Economic loss due to reduced electricity production;1
public;Government administrators;0.5
Government administrators;public;1
public;Small-scale hydropower projects;0.5
Small-scale hydropower projects;public;1
Government administrators;public;1
public;Government administrators;1
public;Small-scale hydropower projects;1
Small-scale hydropower projects;public;1
public;Government administrators;0.5
Economic loss due to reduced electricity production;public;1
Government administrators;public;1
public;Government administrators;1
public;Economic loss due to reduced electricity production;1
Government administrators;public;1
public;Government administrators;0.5
Economic loss due to reduced electricity production;public;1
Small-scale hydropower projects;Government administrators;1
Government administrators;public;1
public;Small-scale hydropower projects;1
public;Economic loss due to reduced electricity production;1
public;Small-scale hydropower projects;1
Small-scale hydropower projects;public;1
Government administrators;public;1
Small-scale hydropower projects;public;1
public;Government administrators;1
Government administrators;Small-scale hydropower projects;1
public;Economic loss due to reduced electricity production;1
Government administrators;public;1
project owners;Government administrators;0.5
Government administrators;project owners;1
project owners;public;0.5
public;Government administrators;0.5
Government administrators;public;1
public;Government administrators;1
Government administrators;public;1
public;project owners;1
project owners;Small-scale hydropower projects;0.5
Small-scale hydropower projects;Government administrators;1
Government administrators;Small-scale hydropower projects;1
Small-scale hydropower projects;Government administrators;1
Government administrators;Small-scale hydropower projects;1
Small-scale hydropower projects;project owners;1
project owners;public;0.5
public;Government administrators;0.5
Small-scale hydropower projects;Government administrators;1
Government administrators;public;1
public;Small-scale hydropower projects;1
Small-scale hydropower projects;public;1
Government administrators;public;1
public;project owners;1
public;Small-scale hydropower projects;1
Small-scale hydropower projects;public;1
public;Government administrators;1
Government administrators;Small-scale hydropower projects;1
Government administrators;public;1
public;project owners;1
project owners;Government administrators;0.5
Economic loss due to reduced electricity production;Government administrators;1
Government administrators;Economic loss due to reduced electricity production;1
Economic loss due to reduced electricity production;Government administrators;1
Government administrators;Economic loss due to reduced electricity production;1
Government administrators;project owners;1
project owners;Government administrators;0.5
Economic loss due to reduced electricity production;Government administrators;1
Small-scale hydropower projects;Government administrators;1
Government administrators;Economic loss due to reduced electricity production;1
Economic loss due to reduced electricity production;Small-scale hydropower projects;1
Small-scale hydropower projects;Economic loss due to reduced electricity production;1
Government administrators;Small-scale hydropower projects;1
Small-scale hydropower projects;project owners;1
Government administrators;Small-scale hydropower projects;1
Small-scale hydropower projects;project owners;1
Economic loss due to reduced electricity production;Government administrators;1
Government administrators;Small-scale hydropower projects;1
Government administrators;Economic loss due to reduced electricity production;1
Government administrators;project owners;1
project owners;Government administrators;0.5
public;Government administrators;0.5
Economic loss due to reduced electricity production;Government administrators;1
Government administrators;public;1
public;Economic loss due to reduced electricity production;1
Economic loss due to reduced electricity production;public;1
Government administrators;public;1
public;project owners;1
public;project owners;1
Government administrators;public;1
public;Government administrators;1
Government administrators;Economic loss due to reduced electricity production;1
Government administrators;public;1
Government administrators;project owners;1
Small-scale hydropower projects;project owners;1
project owners;Government administrators;0.5
Government administrators;project owners;1
public;Government administrators;0.5
Economic loss due to reduced electricity production;project owners;1
Small-scale hydropower projects;Government administrators;1
Small-scale hydropower projects;project owners;1
public;Government administrators;1
Small-scale hydropower projects;project owners;1
Government administrators;public;1
public;Government administrators;1
Economic loss due to reduced electricity production;public;1
public;project owners;1
Economic loss due to reduced electricity production;public;1
public;project owners;1
Government administrators;public;1
public;Government administrators;1
Economic loss due to reduced electricity production;public;1
public;project owners;1
Economic loss due to reduced electricity production;public;1
public;project owners;1
Government administrators;Small-scale hydropower projects;1
Government administrators;public;1
public;Small-scale hydropower projects;1
public;Small-scale hydropower projects;1
Government administrators;Economic loss due to reduced electricity production;1
Government administrators;public;1
public;Government administrators;1
public;project owners;1
Government administrators;Small-scale hydropower projects;1
Host countries;Power infrastructure;0.5
Power infrastructure;Host countries;1
New residential development projects;residents;1
residents;New residential development projects;0.25
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
residents;Developers;0.25
Developers;residents;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;policymakers;1
policymakers;New residential development projects;0.2
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
policymakers;Developers;0.2
Developers;policymakers;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;residents;1
residents;New residential development projects;0.25
policymakers;New residential development projects;0.2
New residential development projects;policymakers;1
New residential development projects;residents;1
residents;New residential development projects;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
residents;Developers;0.25
policymakers;residents;0.2
Developers;residents;1
Developers;New residential development projects;1
Developers;residents;1
New residential development projects;Developers;1
New residential development projects;Developers;1
residents;Developers;1
residents;policymakers;1
Developers;residents;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;environmental groups;1
New residential development projects;environmental groups;1
policymakers;New residential development projects;0.2
New residential development projects;policymakers;1
New residential development projects;environmental groups;1
environmental groups;New residential development projects;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
Developers;environmental groups;1
Developers;New residential development projects;1
New residential development projects;Developers;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
policymakers;Developers;0.2
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;Developers;1
environmental groups;Developers;1
Developers;policymakers;1
Developers;environmental groups;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;residents;1
residents;New residential development projects;0.25
New residential development projects;residents;1
New residential development projects;environmental groups;1
residents;New residential development projects;0.5
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
residents;Developers;0.25
Developers;residents;1
Developers;residents;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;Developers;1
residents;Developers;0.5
Developers;residents;1
residents;environmental groups;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;residents;1
residents;New residential development projects;0.25
policymakers;New residential development projects;0.2
New residential development projects;residents;1
New residential development projects;environmental groups;1
New residential development projects;residents;1
residents;New residential development projects;0.5
environmental groups;residents;1
residents;New residential development projects;1
New residential development projects;policymakers;1
New residential development projects;residents;1
New residential development projects;environmental groups;1
residents;New residential development projects;1
Developers;residents;0.222222222
policymakers;Developers;0.2
residents;Developers;0.25
New residential development projects;Developers;1
Developers;residents;1
Developers;New residential development projects;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
New residential development projects;Developers;1
environmental groups;Developers;1
residents;Developers;1
residents;Developers;0.5
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;residents;1
Developers;residents;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
New residential development projects;Developers;1
residents;Developers;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;residents;1
Developers;policymakers;1
residents;Developers;1
New residential development projects;Environmental;1
Environmental;New residential development projects;1
residents;Environmental;0.25
Environmental;residents;1
residents;New residential development projects;0.25
New residential development projects;residents;1
Environmental;residents;1
residents;Environmental;1
residents;New residential development projects;1
New residential development projects;residents;1
Developers;Environmental;0.222222222
Environmental;Developers;1
Developers;residents;0.222222222
residents;Developers;0.25
Environmental;Developers;1
Developers;Environmental;1
Developers;residents;1
residents;Developers;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
Environmental;Developers;1
Developers;Environmental;1
Developers;New residential development projects;1
New residential development projects;Developers;1
residents;Developers;0.25
Developers;residents;0.222222222
New residential development projects;Developers;1
Environmental;Developers;1
Developers;New residential development projects;1
residents;Developers;1
residents;Developers;1
Developers;residents;1
Developers;residents;1
New residential development projects;Developers;1
Developers;Environmental;1
Developers;New residential development projects;1
residents;Developers;1
Developers;residents;1
policymakers;Environmental;0.2
Environmental;policymakers;1
Developers;policymakers;0.222222222
policymakers;Developers;0.2
Environmental;Developers;1
Developers;Environmental;1
Developers;policymakers;1
policymakers;Developers;1
residents;policymakers;0.25
policymakers;residents;0.2
Environmental;residents;1
residents;Environmental;1
residents;policymakers;1
policymakers;residents;1
Developers;residents;0.222222222
residents;Developers;0.25
policymakers;Developers;0.2
Environmental;Developers;1
Developers;policymakers;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
policymakers;Developers;1
Developers;Environmental;1
Developers;policymakers;1
Developers;residents;1
residents;Developers;1
New residential development projects;policymakers;1
policymakers;New residential development projects;0.2
Environmental;New residential development projects;1
New residential development projects;Environmental;1
New residential development projects;policymakers;1
policymakers;New residential development projects;1
New residential development projects;residents;1
residents;New residential development projects;0.25
policymakers;New residential development projects;0.2
Environmental;New residential development projects;1
New residential development projects;policymakers;1
New residential development projects;residents;1
New residential development projects;residents;1
residents;New residential development projects;1
residents;New residential development projects;1
policymakers;residents;1
New residential development projects;Environmental;1
New residential development projects;policymakers;1
New residential development projects;residents;1
residents;New residential development projects;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
policymakers;Developers;0.2
Environmental;Developers;1
Developers;policymakers;1
Developers;New residential development projects;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;Developers;1
policymakers;Developers;1
Developers;Environmental;1
Developers;policymakers;1
Developers;New residential development projects;1
New residential development projects;Developers;1
Developers;residents;0.222222222
policymakers;Developers;0.2
residents;Developers;0.25
Environmental;Developers;1
New residential development projects;Developers;1
Developers;residents;1
Developers;New residential development projects;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
policymakers;Developers;1
New residential development projects;Developers;1
residents;Developers;1
residents;Developers;1
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;residents;1
Developers;residents;1
Developers;New residential development projects;1
Developers;policymakers;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
New residential development projects;Developers;1
residents;Developers;1
Developers;New residential development projects;1
Developers;Environmental;1
Developers;residents;1
Developers;policymakers;1
residents;Developers;1
Environmental;environmental groups;1
policymakers;environmental groups;0.2
Environmental;environmental groups;1
environmental groups;Environmental;1
environmental groups;policymakers;1
policymakers;environmental groups;1
Developers;environmental groups;0.222222222
Environmental;Developers;1
Developers;Environmental;1
Developers;environmental groups;1
environmental groups;Developers;1
Developers;environmental groups;0.222222222
policymakers;Developers;0.2
Environmental;Developers;1
Developers;policymakers;1
Developers;environmental groups;1
Developers;environmental groups;1
environmental groups;Developers;1
environmental groups;Developers;1
policymakers;Developers;1
Developers;Environmental;1
Developers;policymakers;1
Developers;environmental groups;1
environmental groups;Developers;1
residents;environmental groups;0.25
Environmental;residents;1
residents;Environmental;0.5
residents;environmental groups;1
environmental groups;residents;1
Developers;residents;0.222222222
residents;Developers;0.25
Environmental;Developers;1
Developers;environmental groups;1
Developers;residents;1
Developers;residents;1
residents;Developers;0.5
residents;Developers;1
environmental groups;Developers;1
Developers;Environmental;1
Developers;environmental groups;1
Developers;residents;1
residents;Developers;1
residents;environmental groups;0.25
policymakers;residents;0.2
Environmental;residents;1
residents;policymakers;0.5
residents;environmental groups;1
residents;environmental groups;1
environmental groups;residents;1
environmental groups;residents;1
policymakers;residents;1
residents;Environmental;1
residents;policymakers;1
residents;environmental groups;1
environmental groups;residents;1
Developers;residents;0.222222222
policymakers;Developers;0.2
residents;Developers;0.25
Environmental;Developers;1
Developers;residents;1
Developers;environmental groups;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
policymakers;Developers;1
environmental groups;Developers;1
residents;Developers;1
residents;Developers;0.5
environmental groups;Developers;1
Developers;environmental groups;1
Developers;residents;1
Developers;residents;1
Developers;environmental groups;1
Developers;policymakers;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
environmental groups;Developers;1
residents;Developers;1
Developers;environmental groups;1
Developers;Environmental;1
Developers;residents;1
Developers;policymakers;1
residents;Developers;1
New residential development projects;environmental groups;1
Environmental;New residential development projects;1
New residential development projects;Environmental;1
New residential development projects;environmental groups;1
environmental groups;New residential development projects;1
New residential development projects;residents;1
residents;New residential development projects;0.25
Environmental;New residential development projects;1
New residential development projects;residents;1
New residential development projects;environmental groups;1
New residential development projects;residents;1
residents;New residential development projects;0.5
environmental groups;residents;1
residents;New residential development projects;1
New residential development projects;Environmental;1
New residential development projects;residents;1
New residential development projects;environmental groups;1
residents;New residential development projects;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
Environmental;Developers;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;Developers;1
environmental groups;Developers;1
Developers;Environmental;1
Developers;environmental groups;1
Developers;New residential development projects;1
New residential development projects;Developers;1
Developers;residents;0.222222222
residents;Developers;0.25
Environmental;Developers;1
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
residents;Developers;0.5
New residential development projects;Developers;1
environmental groups;Developers;1
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
residents;Developers;1
New residential development projects;Developers;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;Environmental;1
Developers;residents;1
residents;Developers;1
New residential development projects;environmental groups;1
policymakers;New residential development projects;0.2
Environmental;New residential development projects;1
New residential development projects;policymakers;1
New residential development projects;environmental groups;1
New residential development projects;environmental groups;1
environmental groups;New residential development projects;1
environmental groups;New residential development projects;1
policymakers;New residential development projects;1
New residential development projects;Environmental;1
New residential development projects;policymakers;1
New residential development projects;environmental groups;1
environmental groups;New residential development projects;1
Developers;New residential development projects;0.222222222
policymakers;Developers;0.2
Environmental;Developers;1
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;New residential development projects;1
Developers;environmental groups;1
Developers;New residential development projects;1
policymakers;Developers;1
New residential development projects;Developers;1
environmental groups;Developers;1
New residential development projects;Developers;1
environmental groups;Developers;1
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;policymakers;1
New residential development projects;Developers;1
environmental groups;Developers;1
New residential development projects;Developers;1
New residential development projects;Developers;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;Environmental;1
Developers;policymakers;1
New residential development projects;Developers;1
policymakers;residents;0.2
residents;New residential development projects;0.25
Environmental;residents;1
New residential development projects;residents;1
residents;New residential development projects;1
policymakers;residents;1
New residential development projects;residents;1
environmental groups;residents;1
residents;New residential development projects;1
residents;environmental groups;1
residents;New residential development projects;0.5
New residential development projects;residents;1
environmental groups;residents;1
New residential development projects;residents;1
residents;New residential development projects;1
residents;environmental groups;1
residents;New residential development projects;1
New residential development projects;residents;1
environmental groups;residents;1
New residential development projects;residents;1
residents;environmental groups;1
residents;New residential development projects;1
residents;policymakers;1
New residential development projects;residents;1
residents;environmental groups;1
residents;New residential development projects;1
residents;Environmental;1
New residential development projects;residents;1
residents;policymakers;1
residents;Developers;0.25
Developers;residents;0.222222222
policymakers;residents;0.2
