risks description,risk_type,keywords,sentence tags
Construction cost overrun| Ship collision and grounding| Airborne infectious risk| Worker safety risk| Cost variation range| Corrosion risk| Water inrush risk. ,"Financial, Technical, Health, Safety, Economic, Regulatory, Ergonomic, Organizational. ","Risk Assessment, Risk Management, Risk Sharing, Risk Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Light-frame wood building collapse| Slope failure| Vehicle rear-end collisions| Tsunami mortality| Risk of road surface conditions. ,"Seismic, Structural, Traffic, Natural Disaster, Environmental. ","Risk Importance Measures, Risk-Informed Maintenance, Risk-Compensation Behavior, Risk-Significant Measures, Safety-Significant Measures. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Water inrush| Accidents involving vessels| Floods| Contaminated groundwater system| Safety hazard| Water gushing. ,"Health, Financial, Environmental. ","Risk Assessment, Risk Sharing, Risk Management. ","Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance, Environment Science, Environment Studies."
Gas explosions| Flood cost| Collision risk| Dangerous chemical tanker car accident. ,"Financial, Technical, Human, Organizational. ","Risk Assessment, Risk Allocation, Risk Response. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Karst Water Bursting| Flooding| Hazmat Transportation| Collision Risk| Terrorism Risk| Permafrost Warming| Crude Oil Transportation. ,"Financial, Technical, Safety. ","Risk Assessment, Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Aircraft maintenance| Air traffic control| Airlines operation| Airports operation| Construction site overheads| Seismic risk| Hurricane freshwater flood| Construction project| Seismic resilience| Archaeological sites| Urban system| Earthquake awareness| Structural strengthening/retrofitting| Cascading events| Communication risk. ,"Human Factors, Equipment and Facilities, Environment, Organizational Management, Financial, Technical, Socio-Economic, Political. ","Risk Management, Performance-Based Approach, Emergency Limit Condition, Urban Transformation, Early Warning Systems, Rapid Response Projects, Compulsory Earthquake Insurance. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction workers' safety behavior| Flood risk| Seismic risk| Surface water flooding| Dam safety| Floating large wood debris| Construction flaws. ,"Financial, Technical, Physical, Environmental. ","Risk Assessment, Risk Analysis, Flood Re, Adaptation, Mitigation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Condensation| Overtopping risk. ,"Financial, Technical, Durability. ","Risk Management, Flood Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood hazard| Seismic hazard| Adverse choice risk| Flame length risk| Contaminated groundwater risk| Dam risk| Drought risk| Water shortage risk. ,"Financial, Technical, Health, Environmental. ","Risk Assessment, Risk Mitigation, Risk Aversion. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Seismic risk| Contamination risk| Fire risk| Water management risk| Workplace accidents risk| Discounted professional fees risk| Seepage| Piping| Internal erosion risk. ,"Seismic, Contamination, Financial, Operational, Safety. ","Seismic Risk Management, Fuzzy Cognitive Map, Multi-Criteria Decision Making, Irrigation Water Quality Index, Risk Exposure. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Dry snow avalanches| Vehicle collisions. ,"Financial, Technical, Natural, Human Error. ","Risk Management, Nowcasting, Mean-Variance Formulation, Internet-of-Things Protection System. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood| Seismic| Sunny-Day Levee Breach| Evacuation Effectiveness| Bridge Failure| Heavy Metal Contamination| Earthquake Prone Buildings| Dam Safety Improvements| Scour Risk. ,"Financial, Technical, Environmental, Health. ","Risk Analysis, Risk Assessment, Reliability-Based Design, Risk Assessment Formulation, Risk-Based Engineering Decisions. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Benzene exposure| Landslide risk| Cargo liquefaction| Structural failure| Environmental compliance. ,"Chronic toxicity, Carcinogenesis, Financial, Technical. ","Risk Management, Life-cycle Risk Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Avalanche risk| Structural failure| Bioaccumulation risk| Dam safety risk| Ship hull structural system risk| Mass movement risk| Broken rail risk. ,"Mathematical, Human-centered, Financial, Technical. ","Risk Analysis, Risk Assessment, Risk-centered Maintenance, Risk Sensitivity, Risk Zoning. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Third-party damage| Geotechnical risk| Public Private Partnerships| Small and medium-sized construction companies| Rail breaks| Channel Tunnel Rail Link| Tornado risk| Bridge management. ,"Financial, Technical, Geotechnical, International. ","Risk Management, Value of Information, Fuzzy AHP, Dynamic Load Analysis, Fracture Mechanics Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Unsafe behavior| Driver risk perception| Carcinogenic risk| Slope safety| Human health risks| Risk of crash| Maintenance and repair| Heritage buildings| Construction site hazards| Ship collision and grounding. ,"Psychological, Financial, Technical, Environmental. ","Risk assessment, Risk perception, Risk analysis, Risk management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Liquefaction of solid bulk cargo| Pollution of heavy metals| Infectious disease transmission| Contract risks| Bridge scour countermeasures| Laser induced eye injury. ,"Financial, Technical, Environmental, Health. ","Risk Decision-Making, Risk Assessment, Risk Mitigation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Lake flooding| Real estate market confidence| Irrigation structure failure| Electric power system| Footing-on-slope system| Transport of dangerous goods| Archaeological sites| Falls from heights| Water contamination| Karst. ,"Uncertainty, Social, Technical, Economic, Ecological, Political, Life cycle, Anisotropy, Seismic. ","Risk Analysis, Analytic Network Process, Random Finite Element Method, K-means Cluster Method, Bayesian Network, Reliability Theory. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Risk of reusing existing foundation| Risk of industrial heat recovery| Risk of seismic events| Risk of rockbursting| Risk of debris flows| Risk of fire and explosion. ,"Financial, Technical, Environmental, Structural. ","Risk Management, Seismic Risk Screening, Robust Solution, Structural Equation Modeling, Time-Dependent Risk. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Overabundance of evidence| Climate change impacts| Terrorist attack| Climate change risks| Flood disaster risk| Flood control risk. ,"Financial, Technical, Environmental, Social. ","Risk Assessment, Risk Management, Performance-based Design. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood risks| Risk of contractor default| Risk of railroad transport| Disaster risks. ,"Financial, Technical, Systemic, Climate-related. ","Risk Management, Stress Testing, Building Information Modeling. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood risk| Fire risk. ,"Financial, Technical, Safety. ","Risk Management, Life Cycle Cost Analysis, Fire Risk Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Urban flood inundation| Earthquake ground-motion intensity| Crash risk| Energy supply blackouts| Energy service project. ,"Physical, Structural, Economic, Financial. ","Risk assessment, Risk-based performance, Risk transfer, Risk allocation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Fire risks| Transition risks. ,"Financial, Technical, Environmental. ","Risk Management, Utility Quality Level. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Reservoirs Act| Flood gates| Risk assessment| Risk analysis| Risk picture| Risk factors| Landslide hazards| Slope stability| Unexpected conditions| Enterprise decision analytics| Flood extension| Coastal flood risk| Hydropeaking| Stranding risk. ,"Safety, Financial, Technical. ","Risk Management, Decision Support, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Repayment difficulties| Collapse| Unserviceability| Cyberattacks| Life safety| Economic seismic loss| Inundation| Construction time overrun| Fire and explosion. ,"Financial, Technical, Safety. ","Risk Analysis, Risk Zoning, Earthquake Loss Estimation, Risk Control. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Nitrification occurrence| Flood risk| Injury risk. ,"Financial, Technical, Environmental, Safety. ","Risk Management, Flood Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Physically demanding tasks| Snow avalanche risk| Overtaking maneuvers| Fire risk| Seismic risk| Load-carrying capacity| Bukit Merah Dam failure| Coastal risks| Urban flood risk. ,"Work-related musculoskeletal disorders, Safety, Traffic Conflict, Seismic Safety, Reliability, Risk of Dam Failure, Natural Disasters. ","Postural Assessment, Rule-based Assessment, Biomechanical Analysis, Traffic Conflict Technique, Monte-Carlo Analysis, Reliability Calculation, Delphi Technique, AHP Method. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Time delay in road construction projects| Overturning risk of main girder| Spalling risk of lining concrete| Pluvial flooding| Revenue risk| Wrong-way driving. ,"Financial, Technical, Environmental, Safety. ","Risk assessment, Risk mitigation, Risk acceptance, Risk component-based water distribution system renewal, Risk component-based waste ranking. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Extreme weather| Contaminant intrusion| Ship collision and grounding. ,"Financial, Technical, Environmental. ","Risk Management, Climate Change Risk. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Collision with properties| Collision with humans| Distraction| Blowout Risk| Human Health Risk| Rework Risk| Contamination Risk. ,"Financial, Technical, Public Health, Safety. ","Risk Assessment, Risk Mitigation, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Automobile defect determination| Financial risk| Driver injuries| Nonconformance management| Urban water distribution networks| Floods| Seismic pounding risk| Risk optimisation. ,"Engineering, Financial, Hazard. ","Risk Management, Fuzzy Evidential Reasoning, Risk Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Earthquakes| Fire events| Flooding| Lahar deposition| Ship collision and grounding. ,"Financial, Technical, Seismic, Environmental. ","Risk Assessment, Risk Management, Seismic Risk. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Expropriation of minority shareholders| Debris flow| Slope risk of tailings dam| Natural hazards| Foundation pit construction risk| Travel time delays| Debris flow risk assessment| Risk of tailings dam under rainstorms and earthquakes| Travel time reliability| Risk management of complex civil engineering projects| Multihazard risk assessment| Sinkholes. ,"Agency problem, Geological hazards, Reliability, Operational consequences, Synthetic evaluation, Fuzzy risk assessment, Uncertainty propagation, Travel time delays, Risk assessment, Risk management, Multihazard risk assessment, Financial. ","Institutional activism, Entropy weight-normal cloud model, Reliability theory, Fuzzy synthetic evaluation, Analytic hierarchy process, Travel time reliability, Risk management, Multihazard risk assessment, Synthetic evaluation index system. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Cutterhead jamming| Cancer risk| Earthquake stability| Marine fire| Risk of failure. ,"Technical, Health, Structural, Safety. ","Risk Assessment, Risk Evaluation, Risk Index, Risk Targeted Hazard Maps. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Day-to-day environmental and operational conditions leading to deterioration of in-service structures| Pluvial (rain-related) flood risk| Occupational risks| Supply chain (SC) network design| Chemical plant risk| COVID-19 pandemic| Deep foundation pit construction| Tunnel traffic accident risk. ,"Deterioration, Hazard, Financial, Technical, Reliability. ","Risk-based inspection, Risk Management, Knowledge Management, BIM-integrated safety risk identification, FMEA, Fault Trees, Event Trees, Fuzzy Logic. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Mould growth| Surface condensation| Collapse risk| Sulfate attack| Bridge failure| Thermal bridging| Wave energy failure| Heavy metal pollution. ,"Financial, Technical, Environmental, Structural. ","Risk Assessment, Portfolio Risk Assessment, Data Collection, Seismic Mitigation, Thermal Modelling. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Seismic risk| Spontaneous combustion of sulfide ores| Accidental explosions| OSH risks| International construction market entry| Dam safety assessment| Strategic structures. ,"Physical, Financial, Technical, Economic. ","Risk Assessment, Argumentation Theory, Energy Damage Model, Real-Options Methodology. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Liquefaction risk| Flood risk| Dam foundation instability. ,"Financial, Technical, Environmental. ","Risk Management, Flood Risk Management, Construction Industry Structure. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Geotechnical risk| Earthquake performance| Flammable liquefied gas explosion| Cost overrun| Accidental loss of containment| Risk Factors Causing Cost Overrun| Risk assessment and management| Toxic inhalation hazard| Accident (derailment) probability. ,"Financial, Technical, Safety, Health. ","Risk Management, Risk Reduction, Route Rationalization. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Excessive geometric variability| Ship collision| Building collapse| Road blockage| Ship-bridge collision| Crash risk. ,"Technical, Financial, Safety. ","Risk Management, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Transportation of hazardous materials| Accidents due to hazardous releases| Safe Route Mapping| Maritime transportation| Rework in construction| Anchored ship motions| Flooding of Bengawan Solo River| Earthquake risk| Water resources management| Hurricane risk| Explosive blasts in confined building spaces. ,"Financial, Technical, Safety, Environmental. ","Risk Assessment, Risk Mitigation, Risk Control. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Unnecessary complexity| Use of abstract and ambiguous words| Unnecessarily long sentence length. ,Readability. ,"Integrated Risk-Based Approach, Risk-Based Life-Cycle Assessment, Risk-Based Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Climate change| Increased temperatures| Imbalanced precipitation distributions| Drought risk| Theft of sensitive digital information| Accident risks| Traffic risks| Flood risk. ,"Financial, Technical, Environmental, Safety. ","Risk Management, Decision Analysis, Risk Minimization. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Contamination-related impact| Seawater intrusion| System change-oriented hazards| Fire risk| Flood protection| Seismic collapse risk. ,"Environmental, Safety, Financial. ","Risk Perception, Risk Communication, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Pre-event seismic risk| Occupational accidents| Hurricane wind damage| Piping risk| Ship collision| Seismic risk of weir structures| Value for money| Seismic risk assessment of churches| Seismic risk of Lake Van Basin| Systemic and project-based risks. ,"Financial, Technical, Safety, Environmental, Structural. ","Risk Management, Hazard Recognition, Safety Risk Perception, Fragility Curve-based Models, Conflict Detection Modelling, Spatial-Temporal Pattern Mining, Incremental Dynamic Analysis, Fuzzy Set Theory. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Grassland fire| Earthquake-induced damage| Flood inundation| Landslide disaster| Earthquake strike| Flood mitigation| Hydroclimatic extremes| Performance risk. ,"Environmental, Natural, Financial, Technical. ","Risk assessment, Risk evaluation, Risk reduction, Risk analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Ground collapse| Groundwater contamination| Flood damage| Ground settlement| Lead contamination. ,"Environmental, Financial, Technical. ","Risk Assessment, Occupational Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Regulation change| Lack of a driving force| Works not accounted in planning| Shortcomings of current legal arrangements| Lack of dispute resolution mechanism. ,"Contractual, Cultural, Managerial, Planning, Relational. ","Smart Contract Adoption, Demand Response, Seismic Risk, Broken Rail Prevention, Heavy Metal Pollution. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood risk management| Sewage pipe network upgrading| Loss of life estimation| Infrastructure networks| Imported fresh food supply chains| Dam safety projects. ,"Financial, Technical, Social. ","Risk Assessment, Risk Mitigation, Risk Perception. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Inflow forecasting errors| Distracted driving| Debris flow| Attitudes to risk| PPCPs| Natural hazards| Ship structural corrosion. ,"Operational, Safety, Environmental, Financial. ","Risk Analysis, Risk-based Decision Making, Life Quality Index. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Seismic risk| Epidemic risk| Water contamination risk. ,"Financial, Technical, Environmental. ","Risk Management, Seismic Risk, Water Supply Risk. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flooding| Seismic Risk| Earthquake Risk| Fatal Incidents| Risk Level| Terror Management Theory| Consumption and Resource Usage| Flood Risk Perceptions| Cooperation Cost| Potential Impact of Flooding. ,"Probabilistic Risk, Fuzzy Risk, Financial, Technical, Existential Anxiety. ","Risk Strategies, Risk Analysis, Risk Management, Seismic Retrofit Plan, Earthquake Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Moisture-related issues| Hygrothermal risks| Earthquake and flood shelter planning| Principal-agent relationships| Seismic risk| Real estate market| Deepwater production systems| Overheating risk| Work-related musculoskeletal disorders. ,"Economic, Health, Quantification, Financial, Technical. ","Risk Management, Multihazard Risk Evaluation, Joint Risk Management, Cooperative Procurement, Socioeconomic Clustering. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood control| Work-related musculoskeletal disorders| Earthquake protection| Crash risk| Cost growth. ,"Financial, Technical, Safety. ","Risk Analysis, Risk Assessment, Risk-based Decision-Making. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
PFI project risk| Debris flow risk| Slope failure risk| Bioaerosol emission risk| Steel price uncertainty| Icing event risk| Flood risk. ,"Financial, Technical, Human Health. ","Risk Evaluation, Risk Mitigation, Risk Response. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Cost overruns| Schedule delays| Risk events| Signal Passed at Danger| Climate Risks| Flooding| Bridge Scour| Dam Breaks. ,"Financial, Technical, Safety, Environmental. ","Risk Narratives, Natural Language Processing, Machine Learning, Content Analysis, Co-occurrence Network, Driver Cognition, Spatial Optimization, Spatio-temporal Statistical Models, Adaptive Cruise Control, Automotive Platoon Driving, Error-tolerant System Design, Kalman Filtering. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Terror attack| Coastal flood risk| Cyber threats| Wind risk| Urban flood risk. ,"Security, Financial, Technical. ","Risk Analysis, Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Dam overtopping risk| Societal risk due to landslides| Rework| Slope instability| Autonomous vehicle risk| Driving risk| Climate-induced deterioration risks| Hazard exposure assessment. ,"Financial, Technical, Societal, Artificial Intelligence, Safety. ","Risk Analysis, Risk Management, Risk Mitigation, Uncertainty Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood Risk Management| Bridge Scour| Spalling Risk| Surface Water Flood Risk. ,"Financial, Technical, Environmental, Socio-economic. ","Risk Management, Analytical Hierarchy Process, Urban Water Balance, Safety Validation, Seismic Risk. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Forecasting error| Contaminant intrusion| COVID-19 risk perception| Water abandoning or output shortage| Hydroplaning risk. ,"Technical, Health, Financial. ","Risk Assessment, Risk-based Decision Making, Risk-based Rehabilitation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood risk| Early-age thermal cracking and DEF risk| Water resources risk| Delay risk| Flood risk assessment. ,"Financial, Technical, Environmental, Operational. ","Risk Management, Urban Integrated Assessment Framework, Multiphysics Model, Line-of-Balance Method. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Fire risks| Crash risk. ,"Financial, Technical, Safety. ","Risk Management, Asset Lifecycle Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Careless inspection| Unreliable remote inspection| Paper-based bureaucratic steps| Financial difficulties. ,"Technical, Financial. ","Risk Assessment, Risk Margin. ","Construction Inspection, Environment Science, Environment Studies, Finance."
Accidents on Arctic waters| Leakage of syngas| Pluvial flood risk| Earthquake loss| Uncontrolled hydraulic breaching| Severe urban flood occurrences| Biomass gasification unit failure| Dimensional and geometric variability. ,"Financial, Technical, Environmental, Structural. ","Risk Assessment, Risk Analysis, Risk Reduction. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Seismic design preference| Water inrush disaster| Seismic risk index| Low Water Quality| Structural collapse| Disaster risk. ,"Financial, Technical, Environmental. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Urban fire risk| Cost overrun| Windthrow| Seismic risk| Ship collision and grounding. ,"Financial, Technical, Environmental. ","Risk Management, Decision Support, Time-Cost-Risk Trade-Offs. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flooding| Prefabricated construction delays| Cost efficiency of risk mitigation measures| Cost estimation of hydropower projects| Spatial planning and flood risk management| Permanent fault displacements| Biological agents in archives| Heavy metal pollution. ,"Climate Change, Scheduling, Financial, Technical, Societal. ","Risk Allocation, Risk Mitigation, Risk Management, Flood Objectives. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Financial credit risks| Flood risk| Flood risk reduction| Flood risk assessment| Risk of adjacent buildings| Risk of damage from natural hazards. ,"Financial, Technical, Ecological. ","Risk Assessment, Risk Management, Flood Risk Reduction. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction dust| Emergency failure| Earthquake-induced economic loss| Financial risks. ,"Technical, Economic, Financial. ","Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Water shortages| Floods| Drought| Concrete corrosion| Hydrogen sulfide attack| Highway safety| Injury risks| Lane-changing risk. ,"Financial, Technical, Environmental, Safety. ","Risk-informed decision-making, Risk assessment, Risk-cost optimized maintenance strategy, Risk-based microscopic model. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Wildfire spread| Water inrush| Multi-vessel collision| Crack-affected risk| Landslide issues| Dioxin soil guidance. ,"Financial, Technical, Health. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Seismic risk| Flood risk. ,"Financial, Technical, Natural. ","Risk Management, Seismic Vulnerability, Flood Risk. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Expropriation of minority shareholders| Groundwater contamination| Fatigue reliability of turbine runner| Earthquake risk| Knee musculoskeletal disorders| Circumferential cracks of preexisting shield tunnels| Structural fire incidents. ,"Financial, Environmental, Technical. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
